1,1,21.03
1,11,21.24
1,21,21.11
1,31,22.51
1,41,22.32
1,51,22.08
1,61,21.78
1,71,25.40
1,81,22.84
1,91,21.61
11,1,21.06
11,11,21.05
11,21,25.46
11,31,21.73
11,41,21.28
11,51,22.08
11,61,25.30
11,71,23.81
11,81,22.58
11,91,21.46
21,1,21.28
21,11,22.00
21,21,21.19
21,31,20.89
21,41,21.16
21,51,21.08
21,61,21.11
21,71,21.37
21,81,24.55
21,91,25.43
31,1,24.20
31,11,23.04
31,21,21.16
31,31,21.25
31,41,22.04
31,51,21.42
31,61,20.96
31,71,21.04
31,81,23.10
31,91,23.53
41,1,21.24
41,11,21.20
41,21,21.17
41,31,21.14
41,41,21.16
41,51,21.00
41,61,22.06
41,71,21.02
41,81,24.20
41,91,21.36
51,1,21.62
51,11,22.02
51,21,23.06
51,31,23.26
51,41,23.59
51,51,22.48
51,61,22.69
51,71,22.10
51,81,22.35
51,91,22.36
61,1,24.93
61,11,24.93
61,21,21.84
61,31,22.22
61,41,21.14
61,51,21.04
61,61,21.15
61,71,21.07
61,81,21.15
61,91,21.15
71,1,22.38
71,11,21.67
71,21,21.41
71,31,21.27
71,41,23.11
71,51,21.12
71,61,22.09
71,71,22.02
71,81,23.07
71,91,23.51
81,1,22.38
81,11,22.13
81,21,27.00
81,31,26.81
81,41,22.34
81,51,22.68
81,61,25.11
81,71,22.77
81,81,22.83
81,91,22.43
91,1,22.31
91,11,22.65
91,21,22.80
91,31,22.71
91,41,22.58
91,51,23.59
91,61,22.60
91,71,22.65
91,81,22.92
91,91,23.77
